date,avarage
1805-10-01,7.635999999999999
1805-11-01,4555
1805-12-01,4158
1806-01-01,2.9170000000000003
1806-02-01,2937
1806-03-01,4691
1806-04-01,8032
1806-05-01,11503
1806-06-01,12418
1806-07-01,13923
1806-08-01,14593
1806-09-01,12.549000000000001
1806-10-01,8426
1806-11-01,5231
1806-12-01,3989
1807-01-01,1.0550000000000002
1807-02-01,4.093999999999999
1807-03-01,4788
1807-04-01,6.970999999999999
1807-05-01,9331
1807-06-01,13293
1807-07-01,14138
1807-08-01,13.799000000000001
1807-09-01,12.614999999999998
1807-10-01,8.857000000000001
1807-11-01,6015
1807-12-01,4.4209999999999985
1808-01-01,1131
1808-02-01,2142
1808-03-01,4.361000000000001
1808-04-01,7.481999999999998
1808-05-01,9.357000000000001
1808-06-01,13.428999999999998
1808-07-01,14491
1808-08-01,13047
1808-09-01,12711
1808-10-01,7.971999999999999
1808-11-01,4.5120000000000005
1808-12-01,887
1809-01-01,0.20800000000000016
1809-02-01,0.8559999999999999
1809-03-01,3425
1809-04-01,7.832999999999998
1809-05-01,9243
1809-06-01,12998
1809-07-01,12.655999999999999
1809-08-01,12905
1809-09-01,10967
1809-10-01,8.65
1809-11-01,3099
1809-12-01,2077
1810-01-01,0.8880000000000001
1810-02-01,2391
1810-03-01,5.013999999999999
1810-04-01,6533
1810-05-01,9069
1810-06-01,11.934000000000001
1810-07-01,12.550999999999998
1810-08-01,12.040999999999999
1810-09-01,9532
1810-10-01,6.632000000000001
1810-11-01,3827
1810-12-01,2.66
1811-01-01,1374
1811-02-01,0.4500000000000002
1811-03-01,3701
1811-04-01,6.3020000000000005
1811-05-01,9443
1811-06-01,12137
1811-07-01,11956
1811-08-01,13.325999999999999
1811-09-01,10368
1811-10-01,6.58
1811-11-01,3503
1811-12-01,3174
1812-01-01,977
1812-02-01,0.13100000000000026
1812-03-01,2044
1812-04-01,6.949999999999998
1812-05-01,9.579999999999998
1812-06-01,12005
1812-07-01,14355
1812-08-01,15.017999999999999
1812-09-01,10185
1812-10-01,7593
1812-11-01,4369
1812-12-01,1348
1813-01-01,-1.3849999999999998
1813-02-01,2258
1813-03-01,1.5959999999999999
1813-04-01,8.181999999999999
1813-05-01,11367
1813-06-01,13242
1813-07-01,14.520999999999999
1813-08-01,13.097000000000001
1813-09-01,12339
1813-10-01,8666
1813-11-01,6825
1813-12-01,2171
1814-01-01,1.5020000000000002
1814-02-01,1689
1814-03-01,2664
1814-04-01,7193
1814-05-01,9417
1814-06-01,12818
1814-07-01,12532
1814-08-01,12668
1814-09-01,10.675999999999998
1814-10-01,7374
1814-11-01,6739
1814-12-01,5.8290000000000015
1815-01-01,2051
1815-02-01,2273
1815-03-01,3663
1815-04-01,6.587999999999999
1815-05-01,9845
1815-06-01,11162
1815-07-01,14394
1815-08-01,13.209000000000001
1815-09-01,11151
1815-10-01,7.1370000000000005
1815-11-01,4178
